Character	Name	Normalised Character	Normalised Name	Map to
·	MIDDLE DOT	·	MIDDLE DOT	*
·	GREEK ANO TELEIA	·	MIDDLE DOT	*
՚	ARMENIAN APOSTROPHE	՚	ARMENIAN APOSTROPHE	'
՜	ARMENIAN EXCLAMATION MARK	՜	ARMENIAN EXCLAMATION MARK	!
՝	ARMENIAN COMMA	՝	ARMENIAN COMMA	,
՞	ARMENIAN QUESTION MARK	՞	ARMENIAN QUESTION MARK	?
،	ARABIC COMMA	،	ARABIC COMMA	,
؍	ARABIC DATE SEPARATOR	؍	ARABIC DATE SEPARATOR	,
؛	ARABIC SEMICOLON	؛	ARABIC SEMICOLON	;
؟	ARABIC QUESTION MARK	؟	ARABIC QUESTION MARK	?
٪	ARABIC PERCENT SIGN	٪	ARABIC PERCENT SIGN	%
٭	ARABIC FIVE POINTED STAR	٭	ARABIC FIVE POINTED STAR	*
܄	SYRIAC SUBLINEAR COLON	܄	SYRIAC SUBLINEAR COLON	:
܅	SYRIAC HORIZONTAL COLON	܅	SYRIAC HORIZONTAL COLON	:
܆	SYRIAC COLON SKEWED LEFT	܆	SYRIAC COLON SKEWED LEFT	:
܇	SYRIAC COLON SKEWED RIGHT	܇	SYRIAC COLON SKEWED RIGHT	:
܈	SYRIAC SUPRALINEAR COLON SKEWED LEFT	܈	SYRIAC SUPRALINEAR COLON SKEWED LEFT	:
܉	SYRIAC SUBLINEAR COLON SKEWED RIGHT	܉	SYRIAC SUBLINEAR COLON SKEWED RIGHT	:
߸	NKO COMMA	߸	NKO COMMA	,
߹	NKO EXCLAMATION MARK	߹	NKO EXCLAMATION MARK	!
፣	ETHIOPIC COMMA	፣	ETHIOPIC COMMA	,
፤	ETHIOPIC SEMICOLON	፤	ETHIOPIC SEMICOLON	;
፥	ETHIOPIC COLON	፥	ETHIOPIC COLON	:
፦	ETHIOPIC PREFACE COLON	፦	ETHIOPIC PREFACE COLON	:
፧	ETHIOPIC QUESTION MARK	፧	ETHIOPIC QUESTION MARK	?
᛫	RUNIC SINGLE PUNCTUATION	᛫	RUNIC SINGLE PUNCTUATION	*
᛬	RUNIC MULTIPLE PUNCTUATION	᛬	RUNIC MULTIPLE PUNCTUATION	:
᛭	RUNIC CROSS PUNCTUATION	᛭	RUNIC CROSS PUNCTUATION	+
᠂	MONGOLIAN COMMA	᠂	MONGOLIAN COMMA	,
᠄	MONGOLIAN COLON	᠄	MONGOLIAN COLON	:
᠈	MONGOLIAN MANCHU COMMA	᠈	MONGOLIAN MANCHU COMMA	,
᠊	MONGOLIAN NIRUGU	᠊	MONGOLIAN NIRUGU	-
᥄	LIMBU EXCLAMATION MARK	᥄	LIMBU EXCLAMATION MARK	!
᥅	LIMBU QUESTION MARK	᥅	LIMBU QUESTION MARK	?
᰽	LEPCHA PUNCTUATION CER-WA	᰽	LEPCHA PUNCTUATION CER-WA	*
•	BULLET	•	BULLET	*
‧	HYPHENATION POINT	‧	HYPHENATION POINT	*
′	PRIME	′	PRIME	'
‵	REVERSED PRIME	‵	REVERSED PRIME	'
⁃	HYPHEN BULLET	⁃	HYPHEN BULLET	-
⁎	LOW ASTERISK	⁎	LOW ASTERISK	*
⁏	REVERSED SEMICOLON	⁏	REVERSED SEMICOLON	;
⸱	WORD SEPARATOR MIDDLE DOT	⸱	WORD SEPARATOR MIDDLE DOT	*
⸲	TURNED COMMA	⸲	TURNED COMMA	,
⸳	RAISED DOT	⸳	RAISED DOT	*
⸴	RAISED COMMA	⸴	RAISED COMMA	,
⸵	TURNED SEMICOLON	⸵	TURNED SEMICOLON	;
꘍	VAI COMMA	꘍	VAI COMMA	,
꘏	VAI QUESTION MARK	꘏	VAI QUESTION MARK	?
꛴	BAMUM COLON	꛴	BAMUM COLON	:
꛵	BAMUM COMMA	꛵	BAMUM COMMA	,
꛶	BAMUM SEMICOLON	꛶	BAMUM SEMICOLON	;
꛷	BAMUM QUESTION MARK	꛷	BAMUM QUESTION MARK	?
︑	PRESENTATION FORM FOR VERTICAL IDEOGRAPHIC COMMA	、	IDEOGRAPHIC COMMA	,
･	HALFWIDTH KATAKANA MIDDLE DOT	・	KATAKANA MIDDLE DOT	*
𐤟	PHOENICIAN WORD SEPARATOR	𐤟	PHOENICIAN WORD SEPARATOR	*
