Character	Name	Normalised Character	Normalised Name	Mapped to
❨	MEDIUM LEFT PARENTHESIS ORNAMENT	❨	MEDIUM LEFT PARENTHESIS ORNAMENT	(
❪	MEDIUM FLATTENED LEFT PARENTHESIS ORNAMENT	❪	MEDIUM FLATTENED LEFT PARENTHESIS ORNAMENT	(
❴	MEDIUM LEFT CURLY BRACKET ORNAMENT	❴	MEDIUM LEFT CURLY BRACKET ORNAMENT	{
⟦	MATHEMATICAL LEFT WHITE SQUARE BRACKET	⟦	MATHEMATICAL LEFT WHITE SQUARE BRACKET	[
⟮	MATHEMATICAL LEFT FLATTENED PARENTHESIS	⟮	MATHEMATICAL LEFT FLATTENED PARENTHESIS	(
⦃	LEFT WHITE CURLY BRACKET	⦃	LEFT WHITE CURLY BRACKET	{
⦅	LEFT WHITE PARENTHESIS	⦅	LEFT WHITE PARENTHESIS	(
⸨	LEFT DOUBLE PARENTHESIS	⸨	LEFT DOUBLE PARENTHESIS	(
〚	LEFT WHITE SQUARE BRACKET	〚	LEFT WHITE SQUARE BRACKET	[
﴿	ORNATE RIGHT PARENTHESIS	﴿	ORNATE RIGHT PARENTHESIS	]
｟	FULLWIDTH LEFT WHITE PARENTHESIS	⦅	LEFT WHITE PARENTHESIS	(
❩	MEDIUM RIGHT PARENTHESIS ORNAMENT	❩	MEDIUM RIGHT PARENTHESIS ORNAMENT	)
❫	MEDIUM FLATTENED RIGHT PARENTHESIS ORNAMENT	❫	MEDIUM FLATTENED RIGHT PARENTHESIS ORNAMENT	)
❵	MEDIUM RIGHT CURLY BRACKET ORNAMENT	❵	MEDIUM RIGHT CURLY BRACKET ORNAMENT	}
⟧	MATHEMATICAL RIGHT WHITE SQUARE BRACKET	⟧	MATHEMATICAL RIGHT WHITE SQUARE BRACKET	]
⟯	MATHEMATICAL RIGHT FLATTENED PARENTHESIS	⟯	MATHEMATICAL RIGHT FLATTENED PARENTHESIS	)
⦄	RIGHT WHITE CURLY BRACKET	⦄	RIGHT WHITE CURLY BRACKET	}
⦆	RIGHT WHITE PARENTHESIS	⦆	RIGHT WHITE PARENTHESIS	)
⸩	RIGHT DOUBLE PARENTHESIS	⸩	RIGHT DOUBLE PARENTHESIS	)
〛	RIGHT WHITE SQUARE BRACKET	〛	RIGHT WHITE SQUARE BRACKET	]
﴾	ORNATE LEFT PARENTHESIS	﴾	ORNATE LEFT PARENTHESIS	(
｠	FULLWIDTH RIGHT WHITE PARENTHESIS	⦆	RIGHT WHITE PARENTHESIS	)
❲	LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT	❲	LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT	[
❳	LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT	❳	LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT	]
