ᵢ	LATIN SUBSCRIPT SMALL LETTER I	i	LATIN SMALL LETTER I	i
ᵣ	LATIN SUBSCRIPT SMALL LETTER R	r	LATIN SMALL LETTER R	r
ᵤ	LATIN SUBSCRIPT SMALL LETTER U	u	LATIN SMALL LETTER U	u
ᵥ	LATIN SUBSCRIPT SMALL LETTER V	v	LATIN SMALL LETTER V	v
ᵦ	GREEK SUBSCRIPT SMALL LETTER BETA	β	GREEK SMALL LETTER BETA	β
ᵧ	GREEK SUBSCRIPT SMALL LETTER GAMMA	γ	GREEK SMALL LETTER GAMMA	γ
ᵨ	GREEK SUBSCRIPT SMALL LETTER RHO	ρ	GREEK SMALL LETTER RHO	ρ
ᵩ	GREEK SUBSCRIPT SMALL LETTER PHI	φ	GREEK SMALL LETTER PHI	φ
ᵪ	GREEK SUBSCRIPT SMALL LETTER CHI	χ	GREEK SMALL LETTER CHI	χ
₀	SUBSCRIPT ZERO	0	DIGIT ZERO	0
₁	SUBSCRIPT ONE	1	DIGIT ONE	1
₂	SUBSCRIPT TWO	2	DIGIT TWO	2
₃	SUBSCRIPT THREE	3	DIGIT THREE	3
₄	SUBSCRIPT FOUR	4	DIGIT FOUR	4
₅	SUBSCRIPT FIVE	5	DIGIT FIVE	5
₆	SUBSCRIPT SIX	6	DIGIT SIX	6
₇	SUBSCRIPT SEVEN	7	DIGIT SEVEN	7
₈	SUBSCRIPT EIGHT	8	DIGIT EIGHT	8
₉	SUBSCRIPT NINE	9	DIGIT NINE	9
₊	SUBSCRIPT PLUS SIGN	+	PLUS SIGN	+
₋	SUBSCRIPT MINUS	−	MINUS SIGN	-
₌	SUBSCRIPT EQUALS SIGN	=	EQUALS SIGN	=
₍	SUBSCRIPT LEFT PARENTHESIS	(	LEFT PARENTHESIS	(
₎	SUBSCRIPT RIGHT PARENTHESIS	)	RIGHT PARENTHESIS	)
ₐ	LATIN SUBSCRIPT SMALL LETTER A	a	LATIN SMALL LETTER A	a
ₑ	LATIN SUBSCRIPT SMALL LETTER E	e	LATIN SMALL LETTER E	e
ₒ	LATIN SUBSCRIPT SMALL LETTER O	o	LATIN SMALL LETTER O	o
ₓ	LATIN SUBSCRIPT SMALL LETTER X	x	LATIN SMALL LETTER X	x
ₕ	LATIN SUBSCRIPT SMALL LETTER H	h	LATIN SMALL LETTER H	h
ₖ	LATIN SUBSCRIPT SMALL LETTER K	k	LATIN SMALL LETTER K	k
ₗ	LATIN SUBSCRIPT SMALL LETTER L	l	LATIN SMALL LETTER L	l
ₘ	LATIN SUBSCRIPT SMALL LETTER M	m	LATIN SMALL LETTER M	m
ₙ	LATIN SUBSCRIPT SMALL LETTER N	n	LATIN SMALL LETTER N	n
ₚ	LATIN SUBSCRIPT SMALL LETTER P	p	LATIN SMALL LETTER P	p
ₛ	LATIN SUBSCRIPT SMALL LETTER S	s	LATIN SMALL LETTER S	s
ₜ	LATIN SUBSCRIPT SMALL LETTER T	t	LATIN SMALL LETTER T	t
ⱼ	LATIN SUBSCRIPT SMALL LETTER J	j	LATIN SMALL LETTER J	j
